函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",7,0.09,17,0.23,47,0,47,0,
"std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> >::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> >",7,0.09,8,0.11,480,0,480,0,
"std::_Wrap_alloc<std::allocator<std::_Loop_vals_t> >::_Wrap_alloc<std::allocator<std::_Loop_vals_t> >",7,0.09,15,0.20,801,0,801,0,
"std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::construct<std::_Tgt_state_t<char const *>::_Grp_t,std::_Tgt_state_t<char const *>::_Grp_t const &>",7,0.09,7,0.09,868,0,868,0,
"std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::deallocate",7,0.09,7,0.09,857,0,857,0,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >",7,0.09,17,0.23,801,0,801,0,
"std::allocator_traits<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::destroy<std::_Tgt_state_t<char const *>::_Grp_t>",7,0.09,7,0.09,728,0,728,0,
"std::allocator<std::_Loop_vals_t>::allocator<std::_Loop_vals_t>",7,0.09,7,0.09,552,0,552,0,
"std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >",7,0.09,7,0.09,552,0,552,0,
"std::forward<AutoCompleteManager::Entry const &>",7,0.09,7,0.09,"1,506",0,"1,506",0,
"std::forward<bool>",7,0.09,7,0.09,"1,504",0,"1,504",0,
"std::vector<bool,std::allocator<bool> >::~vector<bool,std::allocator<bool> >",7,0.09,7,0.09,"2,556",0,"2,556",0,
"std::vector<bool,std::allocator<bool> >::operator=",7,0.09,7,0.09,"2,561",0,"2,561",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",7,0.09,93,1.26,721,0,721,0,
"std::vector<unsigned int,std::allocator<bool> >::_Destroy",7,0.09,7,0.09,"1,565",0,"1,565",0,
"std::vector<unsigned int,std::allocator<bool> >::~vector<unsigned int,std::allocator<bool> >",7,0.09,7,0.09,944,0,944,0,
"std::vector<unsigned int,std::allocator<bool> >::max_size",7,0.09,7,0.09,"1,152",0,"1,152",0,
"?data@wxStringData@@QBEPADXZ",6,0.08,6,0.08,0,0,0,0,
"?Lower@wxString@@QBE?AV1@XZ",6,0.08,377,5.10,0,0,0,0,
"?Ungetch@wxInputStream@@QAEIPBXI@Z",6,0.08,69,0.93,0,0,0,0,
"[uxtheme.dll]",6,0.08,18,0.24,0,0,0,0,
"IsSpace",6,0.08,6,0.08,35,0,35,0,
"std::_Allocate<std::_Tgt_state_t<char const *>::_Grp_t>",6,0.08,6,0.08,22,0,22,0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_class",6,0.08,14,0.19,"3,681",0,"3,681",0,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<unsigned int> > >",6,0.08,6,0.08,89,0,89,0,
"std::_Iterator_base12::_Getcont",6,0.08,6,0.08,183,0,183,0,
