函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"?Read@wxConfigBase@@QBE_NABVwxString@@PAV2@@Z",1,0,0.01,0.00,
"?ReadData@wxXPMDecoder@@QAE?AVwxImage@@PBQBD@Z",2,0,0.03,0.00,
"?RealizeResource@wxFont@@UAE_NXZ",19,0,0.26,0.00,
"?RecalcSizes@wxBoxSizer@@UAEXXZ",3,0,0.04,0.00,
"?Render@wxAuiManager@@IAEXPAVwxDC@@@Z",6,0,0.08,0.00,
"?Repaint@wxAuiManager@@IAEXPAVwxDC@@@Z",6,0,0.08,0.00,
"?Run@wxEventLoopManual@@UAEHXZ","2,823",0,38.20,0.00,
"?SavePaneInfo@wxAuiManager@@QAE?AVwxString@@AAVwxAuiPaneInfo@@@Z",3,0,0.04,0.00,
"?SavePerspective@wxAuiManager@@QAE?AVwxString@@XZ",3,0,0.04,0.00,
"?ScreenToClient@wxWindowBase@@QBEXPAH0@Z",1,0,0.01,0.00,
"?SetColumnWidth@wxListCtrl@@QAE_NHH@Z",1,0,0.01,0.00,
"?SetDimension@wxSizer@@QAEXHHHH@Z",3,0,0.04,0.00,
"?SetDimension@wxSizerItem@@UAEXABVwxPoint@@ABVwxSize@@@Z",3,0,0.04,0.00,
"?SetFaceName@wxNativeFontInfo@@QAEXABVwxArrayString@@@Z",19,0,0.26,0.00,
"?SetFamily@wxNativeFontInfo@@QAEXW4wxFontFamily@@@Z",19,0,0.26,0.00,
"?SetPath@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z",4,0,0.05,0.00,
"?SetSizer@wxWindowBase@@QAEXPAVwxSizer@@_N@Z",1,0,0.01,0.00,
"?ShouldAccountFor@wxSizerItem@@ABE_NXZ",1,0,0.01,0.00,
"?Shrink@wxString@@QAE_NXZ",3,0,0.04,0.00,
"?SortChildren@wxTreeCtrl@@UAEXABVwxTreeItemId@@@Z",2,0,0.03,0.00,
"?Thaw@wxWindow@@UAEXXZ",1,0,0.01,0.00,
"?Truncate@wxString@@QAEAAV1@I@Z",53,0,0.72,0.00,
"?TryParent@wxEvtHandler@@MAE_NAAVwxEvent@@@Z",1,0,0.01,0.00,
"?TryParent@wxWindowBase@@MAE_NAAVwxEvent@@@Z",2,0,0.03,0.00,
"?UngetWriteBuf@wxString@@QAEXI@Z",1,0,0.01,0.00,
"?UngetWriteBuf@wxString@@QAEXXZ",1,0,0.01,0.00,
"?Update@wxAuiManager@@QAEXXZ",8,0,0.11,0.00,
"?WinThreadStart@wxThreadInternal@@SGIPAX@Z","4,491",0,60.76,0.00,
"?wxAssociateWinWithHandle@@YAXPAUHWND__@@PAVwxWindow@@@Z",1,0,0.01,0.00,
"?wxAuiBitmapFromBits@@YA?AVwxBitmap@@QBEHHABVwxColour@@@Z",2,0,0.03,0.00,
"?wxEntry@@YAHAAHPAPAD@Z","2,853",0,38.60,0.00,
"?wxEntry@@YAHPAUHINSTANCE__@@0PADH@Z","2,853",0,38.60,0.00,
"?wxEntryReal@@YAHAAHPAPAD@Z","2,853",0,38.60,0.00,
"?wxEntryStart@@YA_NAAHPAPAD@Z",1,0,0.01,0.00,
"?wxExpandEnvVars@@YA?AVwxString@@ABV1@@Z",1,0,0.01,0.00,
"?wxFillLogFont@@YAXPAUtagLOGFONTA@@PBVwxFont@@@Z",19,0,0.26,0.00,
"?wxFindWinFromHandle@@YAPAVwxWindow@@PAX@Z",3,0,0.04,0.00,
"?wxFontEnumeratorProc@@YGHPAUtagLOGFONTA@@PAUtagTEXTMETRICA@@KJ@Z",19,0,0.26,0.00,
"?wxGetMessageName@@YAPBDH@Z",4,0,0.05,0.00,
"?wxInitialize@@YA_NHPAPAD@Z",1,0,0.01,0.00,
"?wxLogTrace@@YAXKPBDZZ",2,0,0.03,0.00,
"?wxWndProc@@YGJPAUHWND__@@IIJ@Z",52,0,0.70,0.00,
"[IPHLPAPI.DLL]",1,0,0.01,0.00,
"[RICHED20.dll]",1,0,0.01,0.00,
"[safemon.dll]",1,0,0.01,0.00,
"[Update.dll]",2,0,0.03,0.00,
"[WININET.dll]",3,0,0.04,0.00,
"[WS2_32.dll]",1,0,0.01,0.00,
"__tmainCRTStartup","2,853",0,38.60,0.00,
"_wxConvertMemoryToBitmap",1,0,0.01,0.00,
"_wxHashTableBase2::AllocTable",1,0,0.01,0.00,
"AutoCompleteManager::~AutoCompleteManager",1,0,0.01,0.00,
"AutoCompleteManager::BuildFromProject","2,730",0,36.94,0.00,
"BreakpointsWindow::AddBreakpointsForFile",14,0,0.19,0.00,
"BreakpointsWindow::BreakpointsWindow",1,0,0.01,0.00,
"BreakpointsWindow::SetProject",1,0,0.01,0.00,
"BreakpointsWindow::UpdateBreakpoints",15,0,0.20,0.00,
"BreakpointsWindow::UpdateBreakpoints",16,0,0.22,0.00,
"ClearVector<DebugFrontend::Script>",1,0,0.01,0.00,
"ClearVector<Symbol>",15,0,0.20,0.00,
"DebugFrontend::EventThreadProc",5,0,0.07,0.00,
"DebugFrontend::MakeValidFileName",5,0,0.07,0.00,
"DebugFrontend::Script::`scalar deleting destructor'",1,0,0.01,0.00,
"DebugFrontend::Script::~Script",1,0,0.01,0.00,
"DebugFrontend::Shutdown",1,0,0.01,0.00,
"DebugFrontend::StaticEventThreadProc",5,0,0.07,0.00,
"KeyBinder::GetTextAsKeyBinding",1,0,0.01,0.00,
"KeyBinder::Load",2,0,0.03,0.00,
"KeyBinder::LoadCommand",1,0,0.01,0.00,
"ListView::AutoSizeColumns",1,0,0.01,0.00,
"ListView::OnSize",1,0,0.01,0.00,
"MainApp::OnInit",29,0,0.39,0.00,
"MainFrame::`scalar deleting destructor'",1,0,0.01,0.00,
"MainFrame::~MainFrame",1,0,0.01,0.00,
"MainFrame::ApplyWindowPlacement",1,0,0.01,0.00,
"MainFrame::CleanUpTemporaryFiles",20,0,0.27,0.00,
"MainFrame::GetFileMatchingSource",3,0,0.04,0.00,
"MainFrame::LoadOptions",4,0,0.05,0.00,
"MainFrame::MainFrame",29,0,0.39,0.00,
"MainFrame::OnDebugEvent","2,783",0,37.65,0.00,
"MainFrame::OnDebugStart",7,0,0.09,0.00,
"MainFrame::OnMenu",1,0,0.01,0.00,
"MainFrame::OnSessionEnd",22,0,0.30,0.00,
"MainFrame::OpenProject",1,0,0.01,0.00,
"MainFrame::RemoveAllLocalBreakpoints",15,0,0.20,0.00,
"MainFrame::SetContext",1,0,0.01,0.00,
"MainFrame::SetMode",7,0,0.09,0.00,
"MainFrame::SetProject",1,0,0.01,0.00,
"MainFrame::StartProcess",6,0,0.08,0.00,
"MainFrame::StartProcess",6,0,0.08,0.00,
"MainFrame::UpdateForNewFile","2,737",0,37.03,0.00,
"MainFrame::UpdateForNewState",1,0,0.01,0.00,
"PeekToken",85,0,1.15,0.00,
"Project::AddTemporaryFile",1,0,0.01,0.00,
"Project::GetFile",1,0,0.01,0.00,
"Project::RemoveFile",15,0,0.20,0.00,
"ProjectExplorerWindow::AddFile",4,0,0.05,0.00,
"ProjectExplorerWindow::InsertFile",6,0,0.08,0.00,
"ProjectExplorerWindow::ProjectExplorerWindow",2,0,0.03,0.00,
"ProjectExplorerWindow::RebuildForFile",4,0,0.05,0.00,
"ProjectExplorerWindow::RemoveFiles",5,0,0.07,0.00,
"ProjectExplorerWindow::RemoveFileSymbols",3,0,0.04,0.00,
"std::_Allocate<char>",10,0,0.14,0.00,
"std::_Allocate<std::_Loop_vals_t>",9,0,0.12,0.00,
"std::_Builder<char const *,char,std::regex_traits<char> >::_End_pattern",6,0,0.08,0.00,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Mark_final",1,0,0.01,0.00,
"std::_Debug_range<std::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",4,0,0.05,0.00,
"std::_Debug_range2<std::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",3,0,0.04,0.00,
"std::_Debug_range2<unsigned int *>",1,0,0.01,0.00,
"std::_Destroy_range<std::_Wrap_alloc<std::_Wrap_alloc<std::allocator<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> > > > >",1,0,0.01,0.00,
"std::_Destroy_range<std::_Wrap_alloc<std::_Wrap_alloc<std::allocator<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> > > > >",1,0,0.01,0.00,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<KeyBinder::Key> > >",1,0,0.01,0.00,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<std::_Loop_vals_t> > >",6,0,0.08,0.00,
"std::_Hash<stdext::_Hmap_traits<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,wxTreeItemId,stdext::hash_compare<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,wxTreeItemId> >,0> >::~_Hash<stdext::_Hmap_traits<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,wxTreeItemId,stdext::hash_compare<std::basic_string<char,std::char_traits<char>,std::allocator<char> >,std::less<std::basic_string<char,std::char_traits<char>,std::allocator<char> > > >,std::allocator<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,wxTreeItemId> >,0> >",1,0,0.01,0.00,
"std::_Hash<stdext::_Hset_traits<Project::File *,stdext::hash_compare<Project::File *,std::less<Project::File *> >,std::allocator<Project::File *>,0> >::_Insert<Project::File * const &,std::_Nil>",1,0,0.01,0.00,
"std::_Hash<stdext::_Hset_traits<Project::File *,stdext::hash_compare<Project::File *,std::less<Project::File *> >,std::allocator<Project::File *>,0> >::_Make_iter",1,0,0.01,0.00,
"std::_Hash<stdext::_Hset_traits<Project::File *,stdext::hash_compare<Project::File *,std::less<Project::File *> >,std::allocator<Project::File *>,0> >::~_Hash<stdext::_Hset_traits<Project::File *,stdext::hash_compare<Project::File *,std::less<Project::File *> >,std::allocator<Project::File *>,0> >",1,0,0.01,0.00,
"std::_Hash<stdext::_Hset_traits<Project::File *,stdext::hash_compare<Project::File *,std::less<Project::File *> >,std::allocator<Project::File *>,0> >::insert",1,0,0.01,0.00,
"std::_List_iterator<std::_List_val<std::_List_simple_types<Project::File *> > >::~_List_iterator<std::_List_val<std::_List_simple_types<Project::File *> > >",1,0,0.01,0.00,
"std::_Matcher<char const *,char,std::regex_traits<char>,char const *>::~_Matcher<char const *,char,std::regex_traits<char>,char const *>",238,0,3.22,0.00,
"std::_Node_capture::~_Node_capture",1,0,0.01,0.00,
"std::_Node_end_group::_Node_end_group",2,0,0.03,0.00,
"std::_Node_end_rep::`scalar deleting destructor'",10,0,0.14,0.00,
"std::_Node_endif::`scalar deleting destructor'",7,0,0.09,0.00,
"std::_Node_rep::`scalar deleting destructor'",7,0,0.09,0.00,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Expect",2,0,0.03,0.00,
"std::_Root_node::_Root_node",2,0,0.03,0.00,
"std::_String_alloc<0,std::_String_base_types<char,std::allocator<char> > >::_Alloc_proxy",15,0,0.20,0.00,
"std::_String_alloc<0,std::_String_base_types<char,std::allocator<char> > >::_String_alloc<0,std::_String_base_types<char,std::allocator<char> > >",15,0,0.20,0.00,
"std::_String_const_iterator<std::_String_val<std::_Simple_types<char> > >::_String_const_iterator<std::_String_val<std::_Simple_types<char> > >",24,0,0.32,0.00,
"std::_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >::_Alloc_proxy",15,0,0.20,0.00,
"std::_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >::_Freeheadnode",9,0,0.12,0.00,
"std::_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >::_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >",42,0,0.57,0.00,
"std::_Tree_buy<AutoCompleteManager::Entry,std::allocator<AutoCompleteManager::Entry> >::_Buynode<AutoCompleteManager::Entry>",70,0,0.95,0.00,
"std::_Tree_buy<AutoCompleteManager::Entry,std::allocator<AutoCompleteManager::Entry> >::_Buynode0",37,0,0.50,0.00,
"std::_Tree_buy<wxString,std::allocator<wxString> >::_Buynode0",19,0,0.26,0.00,
"std::_Tree_buy<wxString,std::allocator<wxString> >::~_Tree_buy<wxString,std::allocator<wxString> >",21,0,0.28,0.00,
"std::_Tree_comp<0,std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Tree_comp<0,std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >",45,0,0.61,0.00,
"std::_Tree_comp<0,std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::~_Tree_comp<0,std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >",21,0,0.28,0.00,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> >,std::_Iterator_base12>",7,0,0.09,0.00,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> >,std::_Iterator_base12>",28,0,0.38,0.00,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Rrotate",1,0,0.01,0.00,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Tidy",1,0,0.01,0.00,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::~_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >",1,0,0.01,0.00,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::clear",51,0,0.69,0.00,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::erase",1,0,0.01,0.00,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::max_size",8,0,0.11,0.00,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Copy<std::integral_constant<bool,0> >",5,0,0.07,0.00,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Erase",17,0,0.23,0.00,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Insert_nohint<wxString const &,std::_Nil>",62,0,0.84,0.00,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Lbound",3,0,0.04,0.00,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::erase",52,0,0.70,0.00,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::insert",62,0,0.84,0.00,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::max_size",1,0,0.01,0.00,
"std::_Uninit_copy<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *,std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",11,0,0.15,0.00,
"std::_Uninit_copy<unsigned int const *,unsigned int *,std::_Wrap_alloc<std::allocator<unsigned int> > >",25,0,0.34,0.00,
"std::_Uninit_copy<unsigned int,unsigned int>",1,0,0.01,0.00,
"std::_Uninit_move<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *,std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",9,0,0.12,0.00,
"std::_Uninitialized_copy<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *,std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",11,0,0.15,0.00,
"std::_Uninitialized_default_fill_n<std::_Tgt_state_t<char const *>::_Grp_t *,unsigned int,std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",7,0,0.09,0.00,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_List_unchecked_iterator<std::_List_val<std::_List_simple_types<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,wxTreeItemId> > > >,std::_Wrap_alloc<std::allocator<std::_List_unchecked_iterator<std::_List_val<std::_List_simple_types<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,wxTreeItemId> > > > > > > >::_Free_proxy",1,0,0.01,0.00,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_List_unchecked_iterator<std::_List_val<std::_List_simple_types<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,wxTreeItemId> > > >,std::_Wrap_alloc<std::allocator<std::_List_unchecked_iterator<std::_List_val<std::_List_simple_types<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,wxTreeItemId> > > > > > > >::~_Vector_alloc<0,std::_Vec_base_types<std::_List_unchecked_iterator<std::_List_val<std::_List_simple_types<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,wxTreeItemId> > > >,std::_Wrap_alloc<std::allocator<std::_List_unchecked_iterator<std::_List_val<std::_List_simple_types<std::pair<std::basic_string<char,std::char_traits<char>,std::allocator<char> > const ,wxTreeItemId> > > > > > > >",1,0,0.01,0.00,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> > >::_Free_proxy",13,0,0.18,0.00,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> > >::_Vector_alloc<0,std::_Vec_base_types<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> > >",19,0,0.26,0.00,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> > >::~_Vector_alloc<0,std::_Vec_base_types<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> > >",16,0,0.22,0.00,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<unsigned int> > >::_Free_proxy",1,0,0.01,0.00,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<unsigned int> > >::~_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<unsigned int> > >",1,0,0.01,0.00,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<Symbol *> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<Symbol *> > >",1,0,0.01,0.00,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::operator-",2,0,0.03,0.00,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::operator!=",1,0,0.01,0.00,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::operator==",1,0,0.01,0.00,
"std::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",1,0,0.01,0.00,
"std::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",5,0,0.07,0.00,
"std::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::~_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",3,0,0.04,0.00,
"std::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::operator-",2,0,0.03,0.00,
"std::_Vector_val<std::_Simple_types<std::_Loop_vals_t> >::~_Vector_val<std::_Simple_types<std::_Loop_vals_t> >",2,0,0.03,0.00,
"std::_Wrap_alloc<std::_Wrap_alloc<std::allocator<std::_Container_proxy> > >::_Wrap_alloc<std::_Wrap_alloc<std::allocator<std::_Container_proxy> > >",1,0,0.01,0.00,
"std::_Wrap_alloc<std::_Wrap_alloc<std::allocator<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> > > >::destroy<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> >",1,0,0.01,0.00,
"std::_Wrap_alloc<std::allocator<char> >::destroy<char *>",2,0,0.03,0.00,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::_Wrap_alloc<std::allocator<std::_Container_proxy> ><std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > > >",5,0,0.07,0.00,
"std::_Wrap_alloc<std::allocator<std::_Loop_vals_t> >::allocate",9,0,0.12,0.00,
"std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::construct",6,0,0.08,0.00,
"std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::construct<std::_Tgt_state_t<char const *>::_Grp_t,std::_Tgt_state_t<char const *>::_Grp_t &>",2,0,0.03,0.00,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::max_size",3,0,0.04,0.00,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::deallocate",9,0,0.12,0.00,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::select_on_container_copy_construction",1,0,0.01,0.00,
"std::_Wrap_alloc<std::allocator<Symbol *> >::construct<Symbol *,Symbol * const &>",2,0,0.03,0.00,
"std::_Wrap_alloc<std::allocator<Symbol *> >::deallocate",1,0,0.01,0.00,
"std::allocator_traits<std::_Wrap_alloc<std::allocator<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> > > >::destroy<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> >",1,0,0.01,0.00,
"std::allocator_traits<std::allocator<char> >::construct<char *,char * &>",5,0,0.07,0.00,
"std::allocator_traits<std::allocator<std::_Loop_vals_t> >::construct<std::_Loop_vals_t>",5,0,0.07,0.00,
"std::allocator_traits<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::construct<std::_Tgt_state_t<char const *>::_Grp_t,std::_Tgt_state_t<char const *>::_Grp_t &>",1,0,0.01,0.00,
"std::allocator_traits<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::construct<std::_Tgt_state_t<char const *>::_Grp_t,std::_Tgt_state_t<char const *>::_Grp_t const &>",7,0,0.09,0.00,
"std::allocator_traits<std::allocator<std::_Tree_node<wxString,void *> > >::construct<wxString,wxString const &>",7,0,0.09,0.00,
"std::allocator_traits<std::allocator<Symbol *> >::construct<Symbol *,Symbol * const &>",2,0,0.03,0.00,
"std::allocator<char>::deallocate",9,0,0.12,0.00,
"std::allocator<std::_Loop_vals_t>::allocate",9,0,0.12,0.00,
"std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >::allocate",6,0,0.08,0.00,
"std::allocator<std::_Tree_node<wxString,void *> >::construct<wxString,wxString const &>",6,0,0.08,0.00,
"std::allocator<std::_Tree_node<wxString,void *> >::deallocate",9,0,0.12,0.00,
"std::allocator<std::_Tree_node<wxString,void *> >::destroy<wxString>",5,0,0.07,0.00,
"std::allocator<Symbol *>::deallocate",1,0,0.01,0.00,
"std::basic_regex<char,std::regex_traits<char> >::basic_regex<char,std::regex_traits<char> >",763,0,10.32,0.00,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Chassign",1,0,0.01,0.00,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Inside",2,0,0.03,0.00,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append",4,0,0.05,0.00,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator+=",4,0,0.05,0.00,
"std::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool>::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool><std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool,void>",4,0,0.05,0.00,
"std::set<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry> >::~set<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry> >",1,0,0.01,0.00,
"std::set<wxString,std::less<wxString>,std::allocator<wxString> >::~set<wxString,std::less<wxString>,std::allocator<wxString> >",88,0,1.19,0.00,
"std::set<wxString,std::less<wxString>,std::allocator<wxString> >::insert",62,0,0.84,0.00,
"std::set<wxString,std::less<wxString>,std::allocator<wxString> >::set<wxString,std::less<wxString>,std::allocator<wxString> >",56,0,0.76,0.00,
"std::sort<std::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",11,0,0.15,0.00,
"std::sort<std::_Vector_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >,std::less<void> >",10,0,0.14,0.00,
"std::vector<bool,std::allocator<bool> >::capacity",2,0,0.03,0.00,
"std::vector<KeyBinder::Key,std::allocator<KeyBinder::Key> >::_Destroy",1,0,0.01,0.00,
"std::vector<KeyBinder::Key,std::allocator<KeyBinder::Key> >::clear",1,0,0.01,0.00,
"std::vector<Project::File *,std::allocator<Project::File *> >::operator[]",1,0,0.01,0.00,
"std::vector<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0>,std::_Wrap_alloc<std::allocator<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> > > >::_Destroy",1,0,0.01,0.00,
"std::vector<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0>,std::_Wrap_alloc<std::allocator<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> > > >::_Tidy",1,0,0.01,0.00,
"std::vector<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0>,std::_Wrap_alloc<std::allocator<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> > > >::~vector<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0>,std::_Wrap_alloc<std::allocator<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<Project::File *> >,std::_Iterator_base0> > > >",1,0,0.01,0.00,
